N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,한온시스템,"11,350",150,-1.30%,100,"60,586","533,800",17.49,"800,815",20.71,5.09,
60,LG유플러스,"13,550",100,+0.74%,"5,000","59,161","436,611",36.32,"948,475",8.30,9.47,
61,강원랜드,"27,350",400,-1.44%,500,"58,513","213,940",18.58,"891,745",-177.60,-7.92,
62,F&F,"748,000","38,000",+5.35%,500,"57,307","7,661",14.03,"55,523",N/A,N/A,
63,맥쿼리인프라,"13,600",0,0.00%,0,"55,059","404,846",14.01,"559,222",N/A,N/A,
64,현대건설,"48,450",150,+0.31%,"5,000","53,952","111,356",23.14,"964,761",32.21,1.84,
65,CJ제일제당,"353,500","1,500",+0.43%,"5,000","53,217","15,054",22.40,"31,319",12.05,13.50,
66,현대제철,"39,350",250,+0.64%,"5,000","52,511","133,446",20.70,"783,182",3.59,8.54,
67,코웨이,"70,000","3,100",+4.63%,500,"51,660","73,800",61.07,"316,516",11.59,31.51,
68,삼성엔지니어링,"26,200",200,+0.77%,"5,000","51,352","196,000",40.35,"1,629,900",13.79,20.67,
69,SKC,"135,500",500,+0.37%,"5,000","51,312","37,868",16.67,"117,084",23.23,11.60,
70,미래에셋증권,"8,230",40,-0.48%,"5,000","50,641","615,316",13.97,"2,345,648",5.63,8.94,
71,KODEX 200,"36,665",80,+0.22%,0,"49,828","135,900",5.81,"2,839,970",N/A,N/A,
72,메리츠화재,"41,100","1,300",+3.27%,500,"49,577","120,625",11.79,"524,569",8.53,16.91,
73,삼성중공업,"5,530",20,+0.36%,"1,000","48,664","880,000",14.49,"2,472,080",-2.69,-36.89,
74,금호석유,"159,500","2,000",+1.27%,"5,000","48,322","30,296",20.29,"126,046",2.85,20.18,
75,메리츠금융지주,"34,600",500,+1.47%,500,"46,368","134,011",8.01,"757,899",6.52,16.06,
76,유한양행,"59,800",500,+0.84%,"1,000","43,792","73,231",17.59,"248,300",43.36,5.45,
77,DB손해보험,"61,000","2,300",+3.92%,500,"43,188","70,800",42.87,"304,986",5.42,9.08,
78,한국금융지주,"76,300",800,-1.04%,"5,000","42,519","55,726",34.92,"218,579",2.66,27.12,
79,한국타이어앤테크놀로지,"33,800",450,-1.31%,500,"41,870","123,875",40.84,"534,698",6.34,5.12,
80,현대중공업지주,"52,200",300,+0.58%,"1,000","41,234","78,993",16.32,"237,477",-12.10,-8.12,
81,쌍용C&E,"8,170",60,+0.74%,100,"41,165","503,860",3.32,"1,240,293",19.98,7.92,
82,메리츠증권,"6,000",80,+1.35%,"1,000","40,904","681,731",12.60,"3,165,384",6.09,13.08,
83,일진머티리얼즈,"86,800",300,+0.35%,500,"40,024","46,111",13.20,"325,973",62.99,7.23,
84,GS건설,"46,100",550,-1.18%,"5,000","39,453","85,581",26.98,"1,119,596",11.23,7.68,
85,두산밥캣,"39,000",500,+1.30%,500,"39,097","100,249",25.20,"225,857",10.13,9.19,
86,한국항공우주,"39,900","1,000",+2.57%,"5,000","38,893","97,475",15.95,"2,060,737",271.43,6.39,
87,한진칼,"57,600","2,000",+3.60%,"2,500","38,454","66,761",14.65,"174,751",224.12,1.11,
88,삼성증권,"42,500",50,-0.12%,"5,000","37,952","89,300",30.20,"486,790",3.93,16.94,
89,이마트,"135,500",0,0.00%,"5,000","37,772","27,876",30.87,"246,323",2.40,16.25,
90,팬오션,"7,060",30,-0.42%,"1,000","37,741","534,570",13.36,"3,275,667",6.87,17.16,
91,GS,"40,300",650,+1.64%,"5,000","37,445","92,915",19.09,"227,694",3.66,-2.82,
92,삼성카드,"32,050",250,+0.79%,"5,000","37,133","115,859",7.22,"113,947",7.91,5.69,
93,한국가스공사,"39,750",300,+0.76%,"5,000","36,694","92,313",11.30,"575,533",8.26,-2.24,
94,아모레G,"43,000",850,-1.94%,500,"35,457","82,458",15.65,"132,891",24.14,0.31,
95,한미약품,"284,000","5,500",+1.97%,"2,500","34,983","12,318",13.50,"32,840",45.24,1.65,
96,NH투자증권,"11,450",50,-0.43%,"5,000","34,010","297,034",18.06,"2,170,378",3.73,14.77,
97,현대오토에버,"121,500","1,500",+1.25%,500,"33,320","27,424",1.88,"129,333",44.10,11.09,
98,한전기술,"87,000","1,300",-1.47%,200,"33,251","38,220",1.59,"476,560",327.07,N/A,
99,오리온,"83,400","1,300",-1.53%,500,"32,973","39,536",36.78,"162,782",13.87,15.50,
100,롯데지주,"31,100",150,+0.48%,200,"32,627","104,909",7.87,"148,978",16.21,-3.03,
101,TIGER 차이나전기차SOLACTIVE,"14,775",235,-1.57%,0,"31,938","216,160",0.57,"4,594,983",N/A,N/A,
102,DB하이텍,"71,900",500,+0.70%,"5,000","31,923","44,399",23.73,"641,667",15.02,23.07,
103,한미사이언스,"45,700",650,-1.40%,500,"31,361","68,624",2.36,"106,168",57.92,3.47,
104,호텔신라,"79,700","1,300",-1.60%,"5,000","31,281","39,248",13.18,"361,100",117.73,4.51,
105,현대차2우B,"85,600",600,+0.71%,"5,000","31,232","36,485",62.14,"143,120",4.80,N/A,
